#,code,state,lat,lon,total_contribution,additional_contribution_exp_r,additional_contri_mvl,required_contribution _ exp_r,required_contri_mvl,State & Local Own Revenue,actually_contributed,prevent_rise_exp_r,prevent_rise_mvl
1,AL,Alabama,32.69,-86.81,1995247,209607,1190485,2204854,3185732,27633995,7.220,7.979,11.528
2,AK,Alaska,64.72,-153.63,658161,183876,403044,842037,1061205,7660950,8.591,10.991,13.852
3,AZ,Arizona,34.26,-111.63,2391967,295522,1146752,2687489,3538719,35392508,6.758,7.593,9.998
4,AR,Arkansas,34.76,-92.64,1046304,177351,1061585,1223655,2107889,16986887,6.159,7.204,12.409
5,CA,California,36.53,-119.59,41267784,7306805,50431235,48574589,91699019,342023090,12.066,13.901,26.027
6,CO,Colorado,39,-105.55,2736460,1097588,2870642,3834048,5607102,39049778,7.008,9.818,14.359
7,CT,Connecticut,41.58,-72.76,3427203,464557,428431,3891760,3855634,31158610,10.999,12.490,12.374
8,DE,Delaware,38.98,-75.46,368121,3355,279492,371476,647613,7350375,5.008,5.054,8.811
9,FL,Florida,27.98,-81.77,4405173,900198,5323321,5305371,9728494,117111171,3.762,4.530,8.307
10,GA,Georgia,32.54,-83.38,3438143,173973,2936862,3612116,6375005,54252238,6.337,6.658,11.751
11,HI,Hawaii,19.65,-155.53,1031948,454500,904649,1486448,1936597,13113050,7.870,11.336,14.768
12,ID,Idaho,43.76,-114.96,605434,-110165,530720,495269,1136154,8759094,6.912,5.654,12.971
13,IL,Illinois,40.27,-89.19,13897238,4615451,4574770,18512689,18472008,93479103,14.867,19.804,19.761
14,IN,Indiana,39.9,-86.25,1950511,-211007,155818,1739504,2106329,40289555,4.841,4.318,5.228
15,IA,Iowa,42.04,-93.5,1311639,10727,1598195,1322366,2909834,24447988,5.365,5.409,11.902
16,KS,Kansas,38.5,-98.38,1206099,109022,776901,1315121,1983000,20936040,5.761,6.282,9.472
17,KY,Kentucky,37.7,-84.92,3052157,805305,1540771,3857462,4592928,24660629,12.377,15.642,18.625
18,LA,Louisiana,30.54,-92.51,3534488,-326919,131829,3207569,3666317,27934648,12.653,11.482,13.125
19,ME,Maine,45.24,-69.17,565814,-35913,341713,529901,907527,8952056,6.320,5.919,10.138
20,MD,Maryland,39.04,-76.35,3466588,216209,2202249,3682797,5668837,46687794,7.425,7.888,12.142
21,MA,Massachusetts,42.36,-71.53,4170739,1696808,3465326,5867547,7636065,59253538,7.039,9.902,12.887
22,MI,Michigan,43.92,-84.63,3942099,-395540,-202552,3546559,3739547,63403599,6.217,5.594,5.898
23,MN,Minnesota,46.64,-94.58,2412676,1318384,4593816,3731060,7006492,46201485,5.222,8.076,15.165
24,MS,Mississippi,32.92,-89.69,1606840,452698,1125611,2059538,2732451,17838168,9.008,11.546,15.318
25,MO,Missouri,38.35,-92.75,2832513,-15950,2304369,2816563,5136882,34183366,8.286,8.240,15.027
26,MT,Montana,47,-109.65,531805,30395,379253,562200,911058,5781315,9.199,9.724,15.759
27,NE,Nebraska,41.5,-99.81,533804,153669,811745,687473,1345549,13991467,3.815,4.914,9.617
28,NV,Nevada,39.44,-116.6,1870719,485411,2078846,2356130,3949565,17209661,10.870,13.691,22.950
29,NH,New Hampshire,43.64,-71.59,579714,50125,259002,629839,838716,8850493,6.550,7.116,9.476
30,NJ,New Jersey,39.67,-74.74,5825588,4797663,7241421,10623251,13067009,78387366,7.432,13.552,16.670
31,NM,New Mexico,34.5,-106.11,1302750,475175,903427,1777925,2206177,13541113,9.621,13.130,16.292
32,NY,New York,40.68,-73.97,19080997,-2306755,9994485,16774242,29075482,232093048,8.221,7.227,12.528
33,NC,North Carolina,35.39,-78.46,3270734,-268463,2728712,3002271,5999446,62051134,5.271,4.838,9.669
34,ND,North Dakota,47.47,-100.47,323960,62291,306744,386251,630704,7216598,4.489,5.352,8.740
35,OH,Ohio,40.26,-82.88,7813995,1984823,5334423,9798818,13148418,77756243,10.049,12.602,16.910
36,OK,Oklahoma,35.46,-97.51,1665015,-91618,738141,1573397,2403156,22081714,7.540,7.125,10.883
37,OR,Oregon,43.85,-120.53,1156000,1133930,2854179,2289930,4010179,30034664,3.849,7.624,13.352
38,PA,Pennsylvania,40.86,-77.84,8238854,485612,1524686,8724466,9763540,90842253,9.069,9.604,10.748
39,RI,Rhode Island,41.59,-71.51,576763,19644,174099,596407,750862,8098006,7.122,7.365,9.272
40,SC,South Carolina,33.7,-80.63,2338296,426377,1942638,2764673,4280934,31695411,7.377,8.723,13.506
41,SD,South Dakota,44.47,-100.23,264642,44174,426244,308816,690886,5071928,5.218,6.089,13.622
42,TN,Tennessee,35.82,-86.34,1200679,-210122,1374836,990557,2575515,33528164,3.581,2.954,7.682
43,TX,Texas,31.03,-98.33,9383839,2009135,11042976,11392974,20426815,166072120,5.650,6.860,12.300
44,UT,Utah,39.1,-111.88,1152211,-164415,963024,987796,2115235,18942237,6.083,5.215,11.167
45,VT,Vermont,44.21,-72.68,264199,23910,97589,288109,361788,4901981,5.390,5.877,7.380
46,VA,Virginia,37.73,-78.38,3732689,277417,2876665,4010106,6609354,58893547,6.338,6.809,11.223
47,WA,Washington,38.83,-77.02,3435076,-277735,3710250,3157341,7145326,55975786,6.137,5.641,12.765
48,WV,West Virginia,38.72,-80.65,816094,-154024,86839,662070,902933,11304789,7.219,5.857,7.987
49,WI,Wisconsin,44.36,-89.47,2180792,-207076,3245195,1973716,5425987,39885373,5.468,4.948,13.604
50,WY,Wyoming,43,-107.55,344640,90378,432821,435018,777461,5957103,5.785,7.303,13.051
