state,RighttoWork_NonRtw,2017_est_pop,market_value_level_unfunded_liability
Alabama,RightToWork,4875120,45163793000
Alaska,NonRightToWork,739786,18638846000
Arizona,RightToWork,7048876,55263518000
Arkansas,RightToWork,3002997,26631779000
California,NonRightToWork,39399349,990720424000
Colorado,NonRightToWork,5615902,75176048000
Connecticut,NonRightToWork,3573880,68574469000
Delaware,NonRightToWork,957078,3648599000
Florida,RightToWork,20976812,142553330000
Georgia,RightToWork,10413055,104769456000
Hawaii,NonRightToWork,1424203,26274264000
Idaho,RightToWork,1718904,9581731000
Illinois,NonRightToWork,12786196,326954328000
Indiana,RightToWork,6660082,37135002000
Iowa,RightToWork,3143637,30803351000
Kansas,RightToWork,2910689,25159776000
Kentucky,RightToWork,4453874,70819689000
Louisiana,RightToWork,4670818,53008980000
Maine,NonRightToWork,1335063,10494447000
Maryland,NonRightToWork,6024891,74889023000
Massachusetts,NonRightToWork,6863246,105206515000
Michigan,RightToWork,9976447,81375328000
Minnesota,NonRightToWork,5568155,71949340000
Mississippi,RightToWork,2989663,40951643000
Missouri,RightToWork,6108612,61864243000
Montana,NonRightToWork,1053090,11666490000
Nebraska,RightToWork,1917575,12947290000
Nevada,RightToWork,2972405,41099644000
New Hampshire,NonRightToWork,1349767,10789473000
New Jersey,NonRightToWork,8888543,163110877000
New Mexico,NonRightToWork,2093395,33417774000
New York,NonRightToWork,19590719,303809427000
North Carolina,RightToWork,10270800,64059744000
North Dakota,RightToWork,755176,6673669000
Ohio,NonRightToWork,11664129,155379580000
Oklahoma,RightToWork,3932640,25177851000
Oregon,NonRightToWork,4146592,52050613000
Pennsylvania,NonRightToWork,12790447,155739924000
Rhode Island,NonRightToWork,1056486,13231711000
South Carolina,RightToWork,5021219,72157227000
South Dakota,RightToWork,873286,5359005000
Tennessee,RightToWork,6708794,23996987000
Texas,RightToWork,28322717,213222290000
Utah,RightToWork,3103118,19254453000
Vermont,NonRightToWork,624525,4887877000
Virginia,RightToWork,8465207,71246514000
Washington,NonRightToWork,7425432,57027334000
West Virginia,RightToWork,1817048,12050810000
Wisconsin,RightToWork,5792051,52153956000
Wyoming,RightToWork,578934,6841179000
